x,y,u
0.825,1,1
0.775,1,1
0.773438,0.059375,1.00112
0.823438,0.109375,1.00112
0.873438,0.159375,1.00112
0.923438,0.209375,1.00112
0.973438,0.259375,1.00112
0.770312,0.128125,1.00337
0.820313,0.178125,1.00337
0.870312,0.228125,1.00337
0.920312,0.278125,1.00337
0.767188,0.196875,1.00562
0.817187,0.246875,1.00562
0.867188,0.296875,1.00562
0.764063,0.265625,1.00786
0.814063,0.315625,1.00786
0.760938,0.334375,1.01011
0.973438,0.284375,1.00112
0.973438,0.334375,1.00112
0.973438,0.384375,1.00112
0.973438,0.434375,1.00112
0.973438,0.484375,1.00112
0.920312,0.303125,1.00337
0.920312,0.353125,1.00337
0.920312,0.403125,1.00337
0.920312,0.453125,1.00337
0.867188,0.321875,1.00562
0.867188,0.371875,1.00562
0.867188,0.421875,1.00562
0.814063,0.340625,1.00786
0.814063,0.390625,1.00786
0.760938,0.359375,1.01011
0.948438,0.496875,1.00259
0.898438,0.521875,1.00551
0.848438,0.546875,1.00844
0.798438,0.571875,1.01137
0.748438,0.596875,1.01429
0.895313,0.465625,1.00483
0.845313,0.490625,1.00776
0.795312,0.515625,1.01069
0.745312,0.540625,1.01361
0.842188,0.434375,1.00708
0.792187,0.459375,1.01001
0.742188,0.484375,1.01293
0.789063,0.403125,1.00933
0.739062,0.428125,1.01225
0.735938,0.371875,1.01157
0.723438,0.584375,1.01407
0.673438,0.559375,1.01364
0.623438,0.534375,1.0132
0.573438,0.509375,1.01277
0.523438,0.484375,1.01233
0.720312,0.528125,1.01339
0.670312,0.503125,1.01296
0.620313,0.478125,1.01252
0.570313,0.453125,1.01209
0.717188,0.471875,1.01271
0.667187,0.446875,1.01228
0.617188,0.421875,1.01184
0.714063,0.415625,1.01203
0.664063,0.390625,1.0116
0.710938,0.359375,1.01135
0.679167,0.670833,1.01271
0.629167,0.745833,1.00978
0.579167,0.820833,1.00686
0.529167,0.895833,1.00393
0.479167,0.970833,1.001
0.5875,0.6875,1.01179
0.5375,0.7625,1.00887
0.4875,0.8375,1.00594
0.4375,0.9125,1.00301
0.495833,0.704167,1.01087
0.445833,0.779167,1.00795
0.395833,0.854167,1.00502
0.404167,0.720833,1.00996
0.354167,0.795833,1.00703
0.3125,0.7375,1.00904
0.454167,0.970833,1.001
0.404167,0.970833,1.001
0.354167,0.970833,1.001
0.304167,0.970833,1.001
0.254167,0.970833,1.001
0.4125,0.9125,1.00301
0.3625,0.9125,1.00301
0.3125,0.9125,1.00301
0.2625,0.9125,1.00301
0.370833,0.854167,1.00502
0.320833,0.854167,1.00502
0.270833,0.854167,1.00502
0.329167,0.795833,1.00703
0.279167,0.795833,1.00703
0.2875,0.7375,1.00904
0.510938,0.059375,1.00181
0.557812,0.128125,1.00405
0.604687,0.196875,1.0063
0.651563,0.265625,1.00855
0.698438,0.334375,1.01079
0.485938,0.109375,1.00317
0.532813,0.178125,1.00542
0.579688,0.246875,1.00767
0.626563,0.315625,1.00991
0.460938,0.159375,1.00454
0.507813,0.228125,1.00679
0.554688,0.296875,1.00903
0.435937,0.209375,1.00591
0.482812,0.278125,1.00815
0.410938,0.259375,1.00727
0.675,0.35,1.01091
0.628125,0.38125,1.01116
0.58125,0.4125,1.0114
0.534375,0.44375,1.01165
0.4875,0.475,1.01189
0.603125,0.33125,1.01003
0.55625,0.3625,1.01028
0.509375,0.39375,1.01052
0.4625,0.425,1.01076
0.53125,0.3125,1.00915
0.484375,0.34375,1.0094
0.4375,0.375,1.00964
0.459375,0.29375,1.00827
0.4125,0.325,1.00852
0.3875,0.275,1.00739
